rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
1,frame_0070.jpg,28.0,0.7079,0.673,0.5714,1.0,5,4,False,True
2,frame_0368.jpg,147.2,0.6943,0.7725,1.0,0.04,9,7,False,True
3,frame_0292.jpg,116.8,0.6935,0.7241,0.5714,0.8,7,4,False,True
4,frame_0069.jpg,27.6,0.6706,0.5984,0.5714,1.0,5,4,False,False
5,frame_0073.jpg,29.2,0.6674,0.6776,0.4286,1.0,5,3,False,False
6,frame_0021.jpg,8.4,0.6596,0.5764,0.5714,1.0,5,4,False,True
7,frame_0000.jpg,0.0,0.6569,0.7423,0.2857,1.0,7,2,False,True
8,frame_0030.jpg,12.0,0.655,0.4814,0.7143,1.0,7,5,False,True
9,frame_0015.jpg,6.0,0.6494,0.8131,0.1429,1.0,4,1,False,True
10,frame_0005.jpg,2.0,0.6464,0.6356,0.4286,1.0,5,3,False,True
11,frame_0072.jpg,28.8,0.6445,0.7176,0.2857,1.0,6,2,False,False
12,frame_0387.jpg,154.8,0.6433,0.6923,0.8571,0.2,9,6,False,True
13,frame_0295.jpg,118.0,0.6376,0.6603,0.5714,0.68,6,4,False,False
14,frame_0296.jpg,118.4,0.6364,0.674,0.5714,0.64,5,4,False,False
15,frame_0008.jpg,3.2,0.6362,0.7867,0.1429,1.0,3,1,False,False
16,frame_0019.jpg,7.6,0.6334,0.6954,0.2857,1.0,2,2,False,False
17,frame_0009.jpg,3.6,0.6323,0.7789,0.1429,1.0,2,1,False,False
18,frame_0006.jpg,2.4,0.6246,0.7634,0.1429,1.0,2,1,False,False
19,frame_0002.jpg,0.8,0.6226,0.5023,0.5714,1.0,7,4,False,False
20,frame_0124.jpg,49.6,0.6218,0.8002,0.2857,0.68,7,2,False,True
21,frame_0087.jpg,34.8,0.6172,0.7852,0.4286,0.48,3,3,False,True
22,frame_0024.jpg,9.6,0.6171,0.8342,0.0,1.0,1,0,False,False
23,frame_0029.jpg,11.6,0.617,0.6625,0.2857,1.0,4,2,False,False
24,frame_0020.jpg,8.0,0.6157,0.6599,0.2857,1.0,3,2,False,False
25,frame_0089.jpg,35.6,0.6138,0.7248,0.5714,0.4,6,4,False,False
26,frame_0132.jpg,52.8,0.6124,0.5677,0.4286,1.0,5,3,False,True
27,frame_0306.jpg,122.4,0.6088,0.693,0.7143,0.24,7,5,False,False
28,frame_0173.jpg,69.2,0.6051,0.6376,0.7143,0.36,5,5,False,False
29,frame_0001.jpg,0.4,0.5987,0.7116,0.1429,1.0,6,1,False,False
30,frame_0284.jpg,113.6,0.5984,0.63,0.5714,0.56,5,4,False,False
31,frame_0220.jpg,88.0,0.5951,0.9067,0.2857,0.28,2,2,False,False
32,frame_0285.jpg,114.0,0.5943,0.6915,0.4286,0.6,4,3,False,False
33,frame_0031.jpg,12.4,0.594,0.5308,0.4286,1.0,5,3,False,False
34,frame_0018.jpg,7.2,0.5922,0.5273,0.4286,1.0,6,3,False,False
35,frame_0085.jpg,34.0,0.5898,0.7842,0.2857,0.56,2,2,False,False
36,frame_0232.jpg,92.8,0.5863,0.7498,0.5714,0.2,6,4,False,False
37,frame_0068.jpg,27.2,0.5837,0.5959,0.2857,1.0,3,2,False,False
38,frame_0297.jpg,118.8,0.5815,0.5802,0.5714,0.6,6,4,False,False
39,frame_0077.jpg,30.8,0.5738,0.6242,0.2857,0.88,6,2,False,False
40,frame_0188.jpg,75.2,0.5714,0.6982,0.7143,0.04,6,5,False,False
41,frame_0079.jpg,31.6,0.5614,0.6314,0.2857,0.8,5,2,False,False
42,frame_0012.jpg,4.8,0.5612,0.4652,0.4286,1.0,3,3,False,False
43,frame_0290.jpg,116.0,0.5606,0.544,0.4286,0.8,5,3,False,False
44,frame_0004.jpg,1.6,0.5591,0.461,0.4286,1.0,5,3,False,False
45,frame_0231.jpg,92.4,0.5583,0.7955,0.4286,0.16,7,3,False,False
46,frame_0378.jpg,151.2,0.558,0.6554,0.7143,0.08,10,5,False,False
47,frame_0011.jpg,4.4,0.556,0.5406,0.2857,1.0,3,2,False,False
48,frame_0209.jpg,83.6,0.5552,0.5653,0.4286,0.72,3,3,False,False
49,frame_0180.jpg,72.0,0.5549,0.735,0.5714,0.08,4,4,False,False
50,frame_0303.jpg,121.2,0.5534,0.7914,0.2857,0.36,3,2,False,False
51,frame_0390.jpg,156.0,0.5512,0.7276,0.5714,0.08,6,4,False,False
52,frame_0076.jpg,30.4,0.5511,0.477,0.4286,0.92,6,3,False,False
53,frame_0376.jpg,150.4,0.5488,0.6908,0.5714,0.16,6,4,False,False
54,frame_0327.jpg,130.8,0.5483,0.5664,0.8571,0.04,7,6,False,False
55,frame_0126.jpg,50.4,0.5453,0.5295,0.4286,0.76,6,3,False,False
56,frame_0075.jpg,30.0,0.544,0.4469,0.4286,0.96,5,3,False,False
57,frame_0125.jpg,50.0,0.5423,0.5394,0.4286,0.72,5,3,False,False
58,frame_0291.jpg,116.4,0.5421,0.491,0.4286,0.84,6,3,False,False
59,frame_0123.jpg,49.2,0.542,0.6565,0.2857,0.64,4,2,False,False
60,frame_0033.jpg,13.2,0.5405,0.5095,0.2857,1.0,7,2,False,False
61,frame_0088.jpg,35.2,0.5363,0.8965,0.0,0.44,3,0,False,False
62,frame_0122.jpg,48.8,0.5345,0.7433,0.1429,0.6,3,1,False,False
63,frame_0319.jpg,127.6,0.5337,0.6126,0.5714,0.28,7,4,False,False
64,frame_0367.jpg,146.8,0.5327,0.6905,0.5714,0.08,9,4,False,False
65,frame_0078.jpg,31.2,0.5324,0.4716,0.4286,0.84,7,3,False,False
66,frame_0385.jpg,154.0,0.5314,0.64,0.5714,0.2,6,4,False,False
67,frame_0082.jpg,32.8,0.5309,0.6184,0.2857,0.68,3,2,False,False
68,frame_0032.jpg,12.8,0.5296,0.4877,0.2857,1.0,5,2,False,False
69,frame_0028.jpg,11.2,0.5294,0.4874,0.2857,1.0,3,2,False,False
70,frame_0003.jpg,1.2,0.5289,0.4864,0.2857,1.0,5,2,False,False
71,frame_0128.jpg,51.2,0.5285,0.5495,0.2857,0.84,5,2,False,False
72,frame_0067.jpg,26.8,0.5284,0.4853,0.2857,1.0,5,2,False,False
73,frame_0007.jpg,2.8,0.5281,0.4848,0.2857,1.0,4,2,False,False
74,frame_0084.jpg,33.6,0.5277,0.6439,0.2857,0.6,2,2,False,False
75,frame_0389.jpg,155.6,0.5273,0.7495,0.4286,0.12,7,3,False,False
76,frame_0027.jpg,10.8,0.526,0.4806,0.2857,1.0,2,2,False,False
77,frame_0230.jpg,92.0,0.5226,0.6543,0.5714,0.12,7,4,False,False
78,frame_0377.jpg,150.8,0.5209,0.6509,0.5714,0.12,9,4,False,False
